,team_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,team_type,accuracy_opinion,precision_opinion,accuracy_evidence,accuracy_bounded,precision_bounded,diversity,average
0,9,13,5,0.75,0.15,1000,expert,0.9549091890437124,,0.9685160727944372,0.954326332656574,,0.2777777777777775,0.9377576429578992
1,9,13,5,0.75,0.15,1000,diverse,0.9678552843975942,,0.9764716504017592,0.9752815491801514,,0.6833333333333333,0.8963847104220921
2,9,13,5,0.75,0.15,1000,diverse,0.9659213313538736,,0.9764716504017592,0.974331977275218,,0.6833333333333331,0.8931933360460071
3,9,13,5,0.75,0.15,1000,diverse,0.9681531550448684,,0.9764716504017592,0.9751949009051232,,0.6833333333333331,0.8951846565755209
4,9,13,5,0.75,0.15,1000,diverse,0.9646459325315134,,0.9764716504017592,0.9743416812687716,,0.683333333333333,0.8910446206325956
5,9,13,5,0.75,0.15,1000,diverse,0.9707009001917418,,0.9764716504017592,0.975993160417164,,0.6833333333333333,0.8973900805664063
6,9,13,5,0.75,0.15,1000,diverse,0.9696128155628532,,0.9764716504017592,0.9754748714719416,,0.6833333333333332,0.8969562179904516
7,9,13,5,0.75,0.15,1000,diverse,0.971996944823742,,0.9764716504017592,0.976713442287087,,0.6833333333333333,0.9017302327473958
8,9,13,5,0.75,0.15,1000,diverse,0.9705740695806884,,0.9764716504017592,0.9760443389669956,,0.683333333333333,0.8986776832411025
9,9,13,5,0.75,0.15,1000,diverse,0.969797167595924,,0.9764716504017592,0.9755954389386364,,0.6833333333333332,0.8970793987358943
10,9,13,5,0.75,0.15,1000,diverse,0.9711971172871304,,0.9764716504017592,0.9762509471262724,,0.683333333333333,0.9001071706814235
11,9,13,5,0.75,0.15,1000,diverse,0.9694313322734248,,0.9764716504017592,0.9754702671979186,,0.683333333333333,0.8962089562988282
12,9,13,5,0.75,0.15,1000,diverse,0.9685564631902176,,0.9764716504017592,0.975397733268925,,0.6833333333333332,0.896324417046441
13,9,13,5,0.75,0.15,1000,diverse,0.9687518779854256,,0.9764716504017592,0.9755551923088908,,0.6833333333333332,0.8973012702094185
14,9,13,5,0.75,0.15,1000,diverse,0.9715074280609542,,0.9764716504017592,0.9763397514306498,,0.6833333333333331,0.9002609640842015
15,9,13,5,0.75,0.15,1000,diverse,0.9708134114038772,,0.9764716504017592,0.976253865673019,,0.6833333333333331,0.8991349499511718
16,9,13,5,0.75,0.15,1000,diverse,0.9677974100466176,,0.9764716504017592,0.9750422689513089,,0.6833333333333331,0.8956529101562501
17,9,13,5,0.75,0.15,1000,diverse,0.9712170688609244,,0.9764716504017592,0.9764249560789772,,0.6833333333333331,0.9004403789605036
18,9,13,5,0.75,0.15,1000,diverse,0.9696810376317472,,0.9764716504017592,0.976086813456149,,0.6833333333333335,0.8987663042534721
19,9,13,5,0.75,0.15,1000,diverse,0.968343104760364,,0.9764716504017592,0.975316112978858,,0.6833333333333333,0.8954655773925781
