,team_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,team_type,accuracy,precision,pool_accuracy,bounded_pool_accuracy,diversity,average
0,9,13,5,0.75,0.2,10000,expert,0.9650423921767832,,0.9734498644547324,0.9646181165937928,0.2777777777777775,0.9492573045267492
1,9,13,5,0.75,0.2,10000,diverse,0.9702127486791438,,0.977065010906729,0.9763965510819712,0.6833333333333332,0.8979393621399177
2,9,13,5,0.75,0.2,10000,diverse,0.9700966302265648,,0.977065010906729,0.9760695263914292,0.6833333333333331,0.8954582047325103
3,9,13,5,0.75,0.2,10000,diverse,0.970516119476427,,0.977065010906729,0.9767221156647292,0.6833333333333331,0.8991367386831275
4,9,13,5,0.75,0.2,10000,diverse,0.9703185051922992,,0.977065010906729,0.9762725643629234,0.6833333333333332,0.8970078909465019
5,9,13,5,0.75,0.2,10000,diverse,0.9724160558300476,,0.977065010906729,0.9771817108217532,0.6833333333333328,0.9020514437585734
6,9,13,5,0.75,0.2,10000,diverse,0.970782203252278,,0.977065010906729,0.9762447582984516,0.6833333333333332,0.8987581224279835
7,9,13,5,0.75,0.2,10000,diverse,0.9710792004307626,,0.977065010906729,0.9766852412344978,0.6833333333333329,0.8984121879286694
8,9,13,5,0.75,0.2,10000,diverse,0.9692474231432114,,0.977065010906729,0.9763798439136718,0.6833333333333331,0.8975023353909466
9,9,13,5,0.75,0.2,10000,diverse,0.9676106290409432,,0.977065010906729,0.9752163803050792,0.6833333333333331,0.8945794290123457
10,9,13,5,0.75,0.2,10000,diverse,0.9702486838614288,,0.977065010906729,0.9763498721852952,0.6833333333333332,0.8976392935528121
11,9,13,5,0.75,0.2,10000,diverse,0.9698248278200922,,0.977065010906729,0.9764654485018694,0.6833333333333331,0.898090749314129
12,9,13,5,0.75,0.2,10000,diverse,0.9685205136713394,,0.977065010906729,0.9759349395989122,0.6833333333333328,0.8959475771604938
13,9,13,5,0.75,0.2,10000,diverse,0.9715126648385308,,0.977065010906729,0.9770034066340312,0.6833333333333332,0.901282890946502
14,9,13,5,0.75,0.2,10000,diverse,0.9681552275431704,,0.977065010906729,0.976065074833819,0.6833333333333331,0.8977354269547324
15,9,13,5,0.75,0.2,10000,diverse,0.9696586620401862,,0.977065010906729,0.9759928023150268,0.6833333333333331,0.896191616941015
16,9,13,5,0.75,0.2,10000,diverse,0.9694225458151472,,0.977065010906729,0.9760796035319508,0.6833333333333331,0.8977105426954731
17,9,13,5,0.75,0.2,10000,diverse,0.9677059257490992,,0.977065010906729,0.9751502757461712,0.6833333333333329,0.8933017515432099
18,9,13,5,0.75,0.2,10000,diverse,0.9713943955575174,,0.977065010906729,0.9769016246179084,0.6833333333333332,0.8977974279835392
19,9,13,5,0.75,0.2,10000,diverse,0.9706786543874372,,0.977065010906729,0.9765425355703976,0.6833333333333332,0.8991306378600823
20,9,13,5,0.75,0.2,10000,diverse,0.9711326523900118,,0.977065010906729,0.9769241421382504,0.6833333333333331,0.9003956172839506
21,9,13,5,0.75,0.2,10000,diverse,0.9658959244596074,,0.977065010906729,0.9738868151679976,0.6833333333333331,0.8913763683127571
22,9,13,5,0.75,0.2,10000,diverse,0.9719677342367402,,0.977065010906729,0.9772021888842488,0.6833333333333331,0.9017383093278464
23,9,13,5,0.75,0.2,10000,diverse,0.971169846458989,,0.977065010906729,0.9764529945966316,0.6833333333333331,0.8994715277777777
24,9,13,5,0.75,0.2,10000,diverse,0.971709101780762,,0.977065010906729,0.9769766785527906,0.6833333333333332,0.900615591563786
25,9,13,5,0.75,0.2,10000,diverse,0.9687043233263803,,0.977065010906729,0.9758667221660456,0.6833333333333335,0.8971475977366256
26,9,13,5,0.75,0.2,10000,diverse,0.9700861011482694,,0.977065010906729,0.9765430760873556,0.683333333333333,0.8983107613168725
27,9,13,5,0.75,0.2,10000,diverse,0.9657997632974644,,0.977065010906729,0.9753617261810136,0.6833333333333335,0.894536378600823
28,9,13,5,0.75,0.2,10000,diverse,0.968136403850304,,0.977065010906729,0.9753026268725996,0.6833333333333331,0.8951271965020575
29,9,13,5,0.75,0.2,10000,diverse,0.9702577421188266,,0.977065010906729,0.9764469040898728,0.6833333333333331,0.8977358907750342
30,9,13,5,0.75,0.2,10000,diverse,0.9721275918127812,,0.977065010906729,0.9768676835002298,0.6833333333333332,0.900331808127572
31,9,13,5,0.75,0.2,10000,diverse,0.96938897245844,,0.977065010906729,0.9760580037768876,0.6833333333333332,0.8963629166666666
32,9,13,5,0.75,0.2,10000,diverse,0.9680512593040556,,0.977065010906729,0.9760214692102724,0.6833333333333332,0.8978068449931413
33,9,13,5,0.75,0.2,10000,diverse,0.9698937550190024,,0.977065010906729,0.9764580003264296,0.6833333333333328,0.8991717352537721
34,9,13,5,0.75,0.2,10000,diverse,0.9696450413398,,0.977065010906729,0.9761793293459226,0.6833333333333332,0.897938091563786
35,9,13,5,0.75,0.2,10000,diverse,0.9667990343330052,,0.977065010906729,0.9754733696526052,0.6833333333333333,0.895346478909465
36,9,13,5,0.75,0.2,10000,diverse,0.96915055549914,,0.977065010906729,0.9757219168360386,0.6833333333333331,0.8961812911522635
37,9,13,5,0.75,0.2,10000,diverse,0.9682002707863756,,0.977065010906729,0.9755939484626966,0.6833333333333335,0.8961324176954731
38,9,13,5,0.75,0.2,10000,diverse,0.9669442325282892,,0.977065010906729,0.9740620840915648,0.6833333333333332,0.8895105375514404
39,9,13,5,0.75,0.2,10000,diverse,0.9702928546656794,,0.977065010906729,0.9766095992457112,0.6833333333333335,0.8986627829218106
40,9,13,5,0.75,0.2,10000,diverse,0.973921496386159,,0.977065010906729,0.977723092606061,0.683333333333333,0.9030528189300412
41,9,13,5,0.75,0.2,10000,diverse,0.9669618754823563,,0.977065010906729,0.975284881888619,0.6833333333333333,0.8940370961934158
42,9,13,5,0.75,0.2,10000,diverse,0.9717931993501676,,0.977065010906729,0.9769526931846112,0.6833333333333331,0.8989903360768174
43,9,13,5,0.75,0.2,10000,diverse,0.9736877616497605,,0.977065010906729,0.9776307527465352,0.683333333333333,0.9029401646090536
44,9,13,5,0.75,0.2,10000,diverse,0.9687387002579154,,0.977065010906729,0.9755166931757948,0.6833333333333331,0.8950052983539094
45,9,13,5,0.75,0.2,10000,diverse,0.9698702439037152,,0.977065010906729,0.9762872027958508,0.6833333333333336,0.8985757355967077
46,9,13,5,0.75,0.2,10000,diverse,0.969347284921446,,0.977065010906729,0.9765732217813182,0.6833333333333331,0.8988192952674898
47,9,13,5,0.75,0.2,10000,diverse,0.9664643197916356,,0.977065010906729,0.9747885939616292,0.6833333333333331,0.8932066563786007
48,9,13,5,0.75,0.2,10000,diverse,0.9684750753561374,,0.977065010906729,0.975618053564316,0.6833333333333331,0.8965460048010976
49,9,13,5,0.75,0.2,10000,diverse,0.972543602565281,,0.977065010906729,0.9772789420451392,0.6833333333333331,0.9015698096707818
50,9,13,5,0.75,0.2,10000,diverse,0.9684243322551224,,0.977065010906729,0.9764684297555932,0.6833333333333331,0.8975079200960219
