Unnamed: 0,team_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,team_type,accuracy,precision,pool_accuracy,bounded_pool_accuracy,diversity,average
822,3,13,5,0.6,0.2,1000,diverse,0.7568970549580967,,0.773033226853774,0.7740582069066828,0.8666666666666667,0.6934770061728394
823,3,13,5,0.6,0.2,1000,diverse,0.7610110869376437,,0.773033226853774,0.7661520412538309,0.8666666666666667,0.6846997530864197
824,3,13,5,0.6,0.2,1000,diverse,0.7536604777640619,,0.773033226853774,0.7687516763276335,0.8666666666666667,0.6892185416666666
825,3,13,5,0.6,0.2,1000,diverse,0.7376499858448368,,0.773033226853774,0.7555042774667328,0.8666666666666667,0.6799748456790123
826,3,13,5,0.6,0.2,1000,diverse,0.7406721963188099,,0.773033226853774,0.7575723733997977,0.8666666666666667,0.6818070216049383
827,3,13,5,0.6,0.2,1000,diverse,0.7655941347721448,,0.773033226853774,0.7824236105590294,0.8666666666666667,0.6972438580246912
828,3,13,5,0.6,0.2,1000,diverse,0.7558850752977689,,0.773033226853774,0.7681158765141051,0.8666666666666667,0.687883816872428
829,3,13,5,0.6,0.2,1000,diverse,0.7540545434237165,,0.773033226853774,0.768434247302891,0.8666666666666667,0.6892524691358025
830,3,13,5,0.6,0.2,1000,diverse,0.7539395580546785,,0.773033226853774,0.7657768067649878,0.8666666666666667,0.6858151543209875
831,3,13,5,0.6,0.2,1000,diverse,0.7221277899595404,,0.773033226853774,0.7290957158662952,0.8666666666666667,0.6621219135802469
832,3,13,5,0.6,0.2,1000,diverse,0.7523376325303744,,0.773033226853774,0.7711264178101362,0.8666666666666667,0.6914836419753086
833,3,13,5,0.6,0.2,1000,diverse,0.7424044179561579,,0.773033226853774,0.7570127284401161,0.8666666666666667,0.6817545216049382
834,3,13,5,0.6,0.2,1000,diverse,0.7221722138242739,,0.773033226853774,0.7405402913626374,0.8666666666666667,0.6701617283950618
835,3,13,5,0.6,0.2,1000,diverse,0.7167752998755779,,0.773033226853774,0.7374506763204169,0.8666666666666667,0.6675319753086421
836,3,13,5,0.6,0.2,1000,diverse,0.777607731954737,,0.773033226853774,0.7907890520383677,0.8666666666666667,0.7035695061728395
837,3,13,5,0.6,0.2,1000,diverse,0.7131578399929202,,0.773033226853774,0.7290957158662952,0.8666666666666667,0.661562037037037
838,3,13,5,0.6,0.2,1000,diverse,0.732006376224303,,0.773033226853774,0.7514298165747968,0.8666666666666667,0.6766360802469135
839,3,13,5,0.6,0.2,1000,diverse,0.7111788623040901,,0.773033226853774,0.7346323964260127,0.8666666666666667,0.6649961419753085
840,3,13,5,0.6,0.2,1000,diverse,0.731627297024535,,0.773033226853774,0.7520030033505242,0.8666666666666667,0.673133487654321
841,3,13,5,0.6,0.2,1000,diverse,0.7598626323844322,,0.773033226853774,0.7717513161108697,0.8666666666666667,0.6885962345679012
842,3,13,5,0.6,0.2,1000,diverse,0.7415995778905405,,0.773033226853774,0.7516594508550252,0.8666666666666667,0.6768050617283952
843,3,13,5,0.6,0.2,1000,diverse,0.7504434431342382,,0.773033226853774,0.76663257366131,0.8666666666666667,0.6877763888888889
844,3,13,5,0.6,0.2,1000,diverse,0.7457245340413698,,0.773033226853774,0.7691734635899601,0.8666666666666667,0.6879262962962963
845,3,13,5,0.6,0.2,1000,diverse,0.7517200363926255,,0.773033226853774,0.779702490586607,0.8666666666666667,0.6964353703703705
846,3,13,5,0.6,0.2,1000,diverse,0.7604387439948385,,0.773033226853774,0.7770163291250944,0.8666666666666667,0.6937100925925926
847,3,13,5,0.6,0.2,1000,diverse,0.7625271165689981,,0.773033226853774,0.7738526860873904,0.8666666666666667,0.6922611625514404
848,3,13,5,0.6,0.2,1000,diverse,0.7710521900431987,,0.773033226853774,0.779702490586607,0.8666666666666667,0.6941986111111111
849,3,13,5,0.6,0.2,1000,diverse,0.721802942893802,,0.773033226853774,0.7430046709726948,0.8666666666666667,0.6712594341563788
850,3,13,5,0.6,0.2,1000,diverse,0.7495941773965786,,0.773033226853774,0.768434247302891,0.8666666666666667,0.6895908950617283
851,3,13,5,0.6,0.2,1000,diverse,0.7398475674708668,,0.773033226853774,0.7597400367521965,0.8666666666666667,0.6835718106995885
852,3,13,5,0.6,0.2,1000,diverse,0.7444458391402664,,0.773033226853774,0.7580180209989125,0.8666666666666667,0.6818730452674897
853,3,13,5,0.6,0.2,1000,diverse,0.761500284226434,,0.773033226853774,0.779702490586607,0.8666666666666667,0.6969284567901234
854,3,13,5,0.6,0.2,1000,diverse,0.7656773082283107,,0.773033226853774,0.7824236105590294,0.8666666666666667,0.6987055246913579
855,3,13,5,0.6,0.2,1000,diverse,0.7576227958512399,,0.773033226853774,0.7687516763276335,0.8666666666666667,0.688622561728395
856,3,13,5,0.6,0.2,1000,diverse,0.7628637436093118,,0.773033226853774,0.7822773499288614,0.8666666666666667,0.6982043672839505
857,3,13,5,0.6,0.2,1000,diverse,0.7260505244842573,,0.773033226853774,0.7430046709726948,0.8666666666666667,0.6704849382716048
858,3,13,5,0.6,0.2,1000,diverse,0.7475508171748265,,0.773033226853774,0.7631546500892192,0.8666666666666667,0.6858117181069959
859,3,13,5,0.6,0.2,1000,diverse,0.7364530171230382,,0.773033226853774,0.7513148185589088,0.8666666666666667,0.6779085905349795
860,3,13,5,0.6,0.2,1000,diverse,0.7537388610790575,,0.773033226853774,0.7681158765141051,0.8666666666666667,0.6891306584362141
861,3,13,5,0.6,0.2,1000,diverse,0.7408526591060305,,0.773033226853774,0.7572369335019875,0.8666666666666667,0.6816001851851853
862,3,13,5,0.6,0.2,1000,diverse,0.769145059030374,,0.773033226853774,0.7850832850284051,0.8666666666666667,0.7003533179012346
863,3,13,5,0.6,0.2,1000,diverse,0.7386277751891773,,0.773033226853774,0.7580180209989125,0.8666666666666667,0.6808624999999999
864,3,13,5,0.6,0.2,1000,diverse,0.7267999384904081,,0.773033226853774,0.7374506763204169,0.8666666666666667,0.6666615277777779
865,3,13,5,0.6,0.2,1000,diverse,0.7391957985908387,,0.773033226853774,0.7555042774667328,0.8666666666666667,0.6797136316872429
866,3,13,5,0.6,0.2,1000,diverse,0.7436865947177653,,0.773033226853774,0.7546023670812342,0.8666666666666667,0.6794197222222222
867,3,13,5,0.6,0.2,1000,diverse,0.7601511929736265,,0.773033226853774,0.7711264178101362,0.8666666666666667,0.6887545370370369
