Unnamed: 0,team_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,team_type,accuracy,precision,pool_accuracy,bounded_pool_accuracy,diversity,average
0,3,13,5,0.55,0.2,1000,expert,0.7164845154320987,,0.7106570601851852,0.7164845154320987,0.2,0.7056720370370372
1,3,13,5,0.55,0.2,1000,diverse,0.6482222889476493,,0.6448371411422178,0.6597874443626038,0.8666666666666667,0.6080840123456791
2,3,13,5,0.55,0.2,1000,diverse,0.6540924060590694,,0.6448371411422178,0.6664285787242046,0.8666666666666667,0.6120735802469137
3,3,13,5,0.55,0.2,1000,diverse,0.5982552221637399,,0.6448371411422178,0.6075140146202672,0.8666666666666667,0.5747550308641977
4,3,13,5,0.55,0.2,1000,diverse,0.6280853140067241,,0.6448371411422178,0.6370935445032554,0.8666666666666667,0.5937581790123458
5,3,13,5,0.55,0.2,1000,diverse,0.6298201752748495,,0.6448371411422178,0.6345176172661612,0.8666666666666667,0.59172487654321
6,3,13,5,0.55,0.2,1000,diverse,0.63124520158428,,0.6448371411422178,0.6499429135346803,0.8666666666666667,0.6003608333333333
7,3,13,5,0.55,0.2,1000,diverse,0.6484002964767063,,0.6448371411422178,0.6599254545161686,0.8666666666666667,0.6080821604938272
8,3,13,5,0.55,0.2,1000,diverse,0.6241450548831631,,0.6448371411422178,0.6337447738286351,0.8666666666666667,0.5917305144032924
9,3,13,5,0.55,0.2,1000,diverse,0.626893408813726,,0.6448371411422178,0.6336149801418042,0.8666666666666667,0.5915831481481483
10,3,13,5,0.55,0.2,1000,diverse,0.6596839529611006,,0.6448371411422178,0.6730103173104618,0.8666666666666667,0.6161886419753088
11,3,13,5,0.55,0.2,1000,diverse,0.6490575227041782,,0.6448371411422178,0.6631664823554008,0.8666666666666667,0.610273302469136
12,3,13,5,0.55,0.2,1000,diverse,0.6272459774393743,,0.6448371411422178,0.6341968213611328,0.8666666666666667,0.5916595267489714
13,3,13,5,0.55,0.2,1000,diverse,0.6120517094194685,,0.6448371411422178,0.6175534138516587,0.8666666666666667,0.581206327160494
14,3,13,5,0.55,0.2,1000,diverse,0.6225986805997162,,0.6448371411422178,0.6311090034482182,0.8666666666666667,0.5897225257201648
15,3,13,5,0.55,0.2,1000,diverse,0.6212219245669208,,0.6448371411422178,0.6337447738286351,0.8666666666666667,0.5914950617283953
16,3,13,5,0.55,0.2,1000,diverse,0.627823204404286,,0.6448371411422178,0.6341968213611328,0.8666666666666667,0.5912816975308642
17,3,13,5,0.55,0.2,1000,diverse,0.6195093013894384,,0.6448371411422178,0.6305757646161926,0.8666666666666667,0.5897002572016463
18,3,13,5,0.55,0.2,1000,diverse,0.631191789916401,,0.6448371411422178,0.6440804597035037,0.8666666666666667,0.5979783950617285
19,3,13,5,0.55,0.2,1000,diverse,0.5864182507573658,,0.6448371411422178,0.6009051482726261,0.8666666666666667,0.5706020216049384
20,3,13,5,0.55,0.2,1000,diverse,0.6132816810619292,,0.6448371411422178,0.6274312422700252,0.8666666666666667,0.5869184876543211
21,3,13,5,0.55,0.2,1000,diverse,0.626672034507146,,0.6448371411422178,0.6440804597035037,0.8666666666666667,0.5976798688271606
22,3,13,5,0.55,0.2,1000,diverse,0.6602012757790628,,0.6448371411422178,0.6730103173104618,0.8666666666666667,0.6161183333333334
23,3,13,5,0.55,0.2,1000,diverse,0.6330848499878948,,0.6448371411422178,0.6466425855659744,0.8666666666666667,0.599568364197531
24,3,13,5,0.55,0.2,1000,diverse,0.5857298788080286,,0.6448371411422178,0.6075140146202672,0.8666666666666667,0.5736873456790125
25,3,13,5,0.55,0.2,1000,diverse,0.6243557683895569,,0.6448371411422178,0.6311090034482182,0.8666666666666667,0.5894394238683129
26,3,13,5,0.55,0.2,1000,diverse,0.6156488315439183,,0.6448371411422178,0.6274312422700252,0.8666666666666667,0.5876415432098767
27,3,13,5,0.55,0.2,1000,diverse,0.6555508274245546,,0.6448371411422178,0.6631011810007842,0.8666666666666667,0.6099085493827162
28,3,13,5,0.55,0.2,1000,diverse,0.6190611328599004,,0.6448371411422178,0.6304081429705904,0.8666666666666667,0.5893160493827162
29,3,13,5,0.55,0.2,1000,diverse,0.6253334856370361,,0.6448371411422178,0.6303073422048561,0.8666666666666667,0.5893462654320989
30,3,13,5,0.55,0.2,1000,diverse,0.6091855927153802,,0.6448371411422178,0.6173642829869255,0.8666666666666667,0.5814794341563788
31,3,13,5,0.55,0.2,1000,diverse,0.6316339947805216,,0.6448371411422178,0.6499429135346803,0.8666666666666667,0.6017680864197531
32,3,13,5,0.55,0.2,1000,diverse,0.6507433990027395,,0.6448371411422178,0.6599254545161686,0.8666666666666667,0.6077841975308643
33,3,13,5,0.55,0.2,1000,diverse,0.623686558050261,,0.6448371411422178,0.6368431259525317,0.8666666666666667,0.5937268621399178
