,team_size,n_sources,heuristic_size,reliability_mean,n_samples,team_type,accuracy,precision,pool_accuracy,bounded_pool_accuracy,diversity,average
0,9,17,5,0.7,10000,expert,0.935925939128494,,0.9516144049823757,0.9352326462549588,0.2777777777777775,0.9158720920138888
0,9,17,5,0.7,10000,qualified_diverse_50,0.956697969294101,,0.9612049881282881,0.9645698266831698,0.7833333333333333,0.8505494875759548
1,9,17,5,0.7,10000,qualified_diverse_50,0.956960982756907,,0.9612049881282881,0.9644806821041828,0.7777777777777778,0.8514676599121094
2,9,17,5,0.7,10000,qualified_diverse_50,0.9556074775261761,,0.9612049881282881,0.9640479813550878,0.7833333333333331,0.8496772606065538
3,9,17,5,0.7,10000,qualified_diverse_50,0.9560444336020737,,0.9612049881282881,0.9643825724108553,0.7833333333333331,0.8502971868218316
4,9,17,5,0.7,10000,qualified_diverse_50,0.9559143223443934,,0.9612049881282881,0.9640479813550878,0.7833333333333331,0.8492416815863716
5,9,17,5,0.7,10000,qualified_diverse_50,0.9556071130370358,,0.9612049881282881,0.9638597446918603,0.7833333333333332,0.849215871717665
6,9,17,5,0.7,10000,qualified_diverse_50,0.9555205787420961,,0.9612049881282881,0.9642262442590565,0.7777777777777772,0.8512159388563368
7,9,17,5,0.7,10000,qualified_diverse_50,0.9561049068259986,,0.9612049881282881,0.9640117529460837,0.7833333333333333,0.8495320667182074
8,9,17,5,0.7,10000,qualified_diverse_50,0.95608527322555,,0.9612049881282881,0.9637896889818997,0.7833333333333334,0.8489331412760417
9,9,17,5,0.7,10000,qualified_diverse_50,0.9569190138492767,,0.9612049881282881,0.9647521215900713,0.7833333333333332,0.8508234338378906
10,9,17,5,0.7,10000,qualified_diverse_50,0.9550196419964381,,0.9612049881282881,0.9634645371620784,0.7833333333333334,0.8486291636827258
11,9,17,5,0.7,10000,qualified_diverse_50,0.9560008678126244,,0.9612049881282881,0.9643918919043185,0.783333333333333,0.8502045882161458
12,9,17,5,0.7,10000,qualified_diverse_50,0.9568842890072752,,0.9612049881282881,0.9645698266831698,0.7833333333333333,0.8505553224690755
13,9,17,5,0.7,10000,qualified_diverse_50,0.9547694506434725,,0.9612049881282881,0.9633277729353922,0.783333333333333,0.8483191598849826
14,9,17,5,0.7,10000,qualified_diverse_50,0.9560247123343772,,0.9612049881282881,0.9638372192635102,0.7833333333333333,0.8492373984103733
15,9,17,5,0.7,10000,qualified_diverse_50,0.9558997390742164,,0.9612049881282881,0.963630188834218,0.7833333333333331,0.8488167077636719
16,9,17,5,0.7,10000,qualified_diverse_50,0.9558514949158767,,0.9612049881282881,0.9639926402067026,0.7833333333333331,0.8495438042534723
17,9,17,5,0.7,10000,qualified_diverse_50,0.957119385450817,,0.9612049881282881,0.9647521215900713,0.7833333333333333,0.8506306049262152
18,9,17,5,0.7,10000,qualified_diverse_50,0.9573162919919638,,0.9612049881282881,0.9650138520519962,0.7777777777777777,0.8523939952935112
19,9,17,5,0.7,10000,qualified_diverse_50,0.958111755879754,,0.9612049881282881,0.9662519698450726,0.7777777777777779,0.854311206732856
20,9,17,5,0.7,10000,qualified_diverse_50,0.9559767711575975,,0.9612049881282881,0.9637182636851792,0.7833333333333333,0.8490747121853298
21,9,17,5,0.7,10000,qualified_diverse_50,0.9541343442580215,,0.9612049881282881,0.9628660779194934,0.7833333333333332,0.8473704665120443
22,9,17,5,0.7,10000,qualified_diverse_50,0.9584546674442052,,0.9612049881282881,0.966090257139089,0.772222222222222,0.8555559505208333
23,9,17,5,0.7,10000,qualified_diverse_50,0.9556782414302784,,0.9612049881282881,0.9634352923777441,0.7833333333333333,0.8485585042317708
24,9,17,5,0.7,10000,qualified_diverse_50,0.9567490894419032,,0.9612049881282881,0.9645698266831698,0.7833333333333331,0.8500567766655815
25,9,17,5,0.7,10000,qualified_diverse_50,0.9559039483490869,,0.9612049881282881,0.9639926402067026,0.7833333333333332,0.8493601220703125
26,9,17,5,0.7,10000,qualified_diverse_50,0.9566726839646507,,0.9612049881282881,0.9651552940325357,0.7777777777777777,0.8527253907606338
27,9,17,5,0.7,10000,qualified_diverse_50,0.9561798505182125,,0.9612049881282881,0.9640213121404357,0.7833333333333333,0.8494658707682292
