,team_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,team_type,accuracy_opinion,precision_opinion,accuracy_evidence,accuracy_bounded,diversity,average
5047,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9757500560776948,,0.977065010906729,0.9774789137434726,0.5444444444444445,0.9321748696844993
5048,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9758657203440674,,0.977065010906729,0.9778755469687777,0.5555555555555558,0.9311140715020576
5049,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.975642145123142,,0.9719526684085908,0.9777268106489196,0.5444444444444445,0.9323799151234566
5050,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9764158447750584,,0.977065010906729,0.9785593288034898,0.5722222222222224,0.9294597505144032
5051,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9759851268223796,,0.977065010906729,0.9776863720131312,0.5500000000000003,0.931532361111111
5052,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.976142878979947,,0.977065010906729,0.9778684161772738,0.5611111111111113,0.9303262654320988
5053,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9763594206488276,,0.977065010906729,0.9780346836525848,0.5611111111111113,0.930406712962963
5054,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.976723750666258,,0.977065010906729,0.97871184740412,0.5722222222222223,0.9297214934842252
5055,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9759980819497952,,0.9719526684085908,0.9779364471742612,0.5611111111111116,0.9303297119341564
5056,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9764481996588836,,0.9719526684085908,0.978241717347522,0.5611111111111112,0.9307271450617284
5057,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9767397714362002,,0.977065010906729,0.978574393633144,0.5722222222222223,0.9294750308641976
5058,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9764477569352792,,0.977065010906729,0.9782628249097576,0.5611111111111113,0.9308573045267488
5059,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9762383865683436,,0.977065010906729,0.9783853119430004,0.5722222222222223,0.9291490689300412
5060,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9760626224604312,,0.9719526684085908,0.9780926543279438,0.5555555555555556,0.9313287808641976
5061,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.976232336133987,,0.977065010906729,0.9784229991892672,0.5722222222222224,0.9293668347050756
5062,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.975787583396838,,0.9719526684085908,0.977854227664678,0.5555555555555555,0.931001859567901
5063,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9761941358294998,,0.977065010906729,0.9782813008121846,0.5666666666666669,0.9300512988683126
5064,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.976589115395254,,0.977065010906729,0.9787714386433556,0.577777777777778,0.9288452983539096
5065,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9755391987444292,,0.977065010906729,0.977831408924385,0.5555555555555558,0.930898672839506
5066,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.976106919537816,,0.977065010906729,0.9782628249097576,0.5611111111111113,0.9308549125514404
5067,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9759195450139284,,0.977065010906729,0.9781388635631496,0.5611111111111116,0.9305813477366254
5068,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9754299870136384,,0.9719526684085908,0.977555330869008,0.5444444444444447,0.9322858590534978
5069,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9764332460335406,,0.977065010906729,0.9783500855539768,0.5666666666666669,0.9299662037037036
5070,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.976257219676054,,0.977065010906729,0.9786227171572708,0.5722222222222225,0.9295235030864196
5071,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.976341135276711,,0.977065010906729,0.9785013650874712,0.5666666666666669,0.9302161445473252
5072,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.976240833972428,,0.977065010906729,0.9787315841962148,0.577777777777778,0.9287809207818932
5073,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9763095336272102,,0.977065010906729,0.978434782213826,0.5666666666666669,0.9301659327846364
5074,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9767455298181944,,0.977065010906729,0.9787315841962148,0.577777777777778,0.9287719701646092
5075,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9760998730455094,,0.977065010906729,0.9780702268726412,0.5555555555555557,0.931277127914952
