,team_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,team_type,accuracy_opinion,precision_opinion,accuracy_evidence,accuracy_bounded,precision_bounded,diversity,average
0,9,13,5-7-9,0.65,0.2,1000,expert,0.8878911155609671,,0.8667068567605203,0.8878911155609671,,0.1441798941798941,0.8751216291414229
1,9,13,5-7-9,0.65,0.2,1000,diverse,0.8606143960136504,,0.8726842506787728,0.8717386724594549,,0.6666666666666666,0.7714951045953362
2,9,13,5-7-9,0.65,0.2,1000,diverse,0.8580046165057141,,0.8726842506787728,0.8719783214830973,,0.6666666666666666,0.7704514017489712
3,9,13,5-7-9,0.65,0.2,1000,diverse,0.8639288406637936,,0.8726842506787728,0.8726842506787728,,0.6499999999999999,0.7727345332683185
4,9,13,5-7-9,0.65,0.2,1000,diverse,0.85534571318942,,0.8726842506787728,0.8726842506787728,,0.6499999999999999,0.7696300893299421
5,9,13,5-7-9,0.65,0.2,1000,diverse,0.8617195384678195,,0.8726842506787728,0.8723737408195478,,0.6666666666666666,0.7712911209705076
6,9,13,5-7-9,0.65,0.2,1000,diverse,0.8615173858397527,,0.8726842506787728,0.870951809090506,,0.6666666666666666,0.7680864549039783
7,9,13,5-7-9,0.65,0.2,1000,diverse,0.8570921653977168,,0.8726842506787728,0.8711476763557295,,0.6666666666666666,0.7698169257735102
8,9,13,5-7-9,0.65,0.2,1000,diverse,0.8543343833953312,,0.8726842506787728,0.86956915844201,,0.6666666666666666,0.765638526329828
9,9,13,5-7-9,0.65,0.2,1000,diverse,0.8657340759036352,,0.8726842506787728,0.873949312179437,,0.6666666666666666,0.7748658333333335
10,9,13,5-7-9,0.65,0.2,1000,diverse,0.8655703814226522,,0.8726842506787728,0.8734434737063607,,0.6833333333333333,0.7704548473936901
11,9,13,5-7-9,0.65,0.2,1000,diverse,0.8553251902667187,,0.8726842506787728,0.8712442423910595,,0.6666666666666666,0.7689009053497943
12,9,13,5-7-9,0.65,0.2,1000,diverse,0.8553859273479322,,0.8726842506787728,0.8695276731162258,,0.6833333333333333,0.7614960545267491
13,9,13,5-7-9,0.65,0.2,1000,diverse,0.8585140763200884,,0.8726842506787728,0.8709725443764373,,0.6833333333333333,0.7660591443758574
14,9,13,5-7-9,0.65,0.2,1000,diverse,0.8546450198866343,,0.8726842506787728,0.8707818973079379,,0.6666666666666666,0.768554386574074
15,9,13,5-7-9,0.65,0.2,1000,diverse,0.8524719613074205,,0.8726842506787728,0.8684030745030981,,0.6833333333333333,0.7615925077160495
16,9,13,5-7-9,0.65,0.2,1000,diverse,0.855592758726441,,0.8726842506787728,0.8705599603510317,,0.6833333333333333,0.7655264797668039
17,9,13,5-7-9,0.65,0.2,1000,diverse,0.8489983571840837,,0.8726842506787728,0.8692966514838159,,0.6666666666666666,0.7647738094421582
18,9,13,5-7-9,0.65,0.2,1000,diverse,0.8604644622586427,,0.8726842506787728,0.871746957975354,,0.6833333333333333,0.7676897085048012
19,9,13,5-7-9,0.65,0.2,1000,diverse,0.8587189957470032,,0.8726842506787728,0.8709588277771441,,0.6666666666666666,0.7692768924897121
20,9,13,5-7-9,0.65,0.2,1000,diverse,0.8645842157468608,,0.8726842506787728,0.8730610313629877,,0.6833333333333333,0.7689793724279836
21,9,13,5-7-9,0.65,0.2,1000,diverse,0.8588327780956498,,0.8726842506787728,0.8717473530654776,,0.6666666666666666,0.7713142179641062
22,9,13,5-7-9,0.65,0.2,1000,diverse,0.8586216614020924,,0.8726842506787728,0.8703247267209814,,0.6833333333333333,0.7647286059670784
23,9,13,5-7-9,0.65,0.2,1000,diverse,0.8594015574697942,,0.8726842506787728,0.8726842506787728,,0.6499999999999999,0.7711052421089107
24,9,13,5-7-9,0.65,0.2,1000,diverse,0.8538852171845372,,0.8726842506787728,0.8690091560811988,,0.6666666666666666,0.7636205081161409
25,9,13,5-7-9,0.65,0.2,1000,diverse,0.8614622609814901,,0.8726842506787728,0.871591991265118,,0.6666666666666666,0.7693330298353911
