,team_size,n_sources,heuristic_size,reliability_mean,n_samples,team_type,accuracy,precision,pool_accuracy,bounded_pool_accuracy,diversity,average
0,9,17,5,0.55,10000,expert,0.7357918421052932,,0.7338870098638535,0.735638529753685,0.2777777777777775,0.7149423166232639
1,9,17,5,0.55,10000,diverse,0.6657304957205938,,0.6637427524998296,0.6734011458614233,0.7833333333333333,0.6021577218967015
2,9,17,5,0.55,10000,diverse,0.6630149527953433,,0.6637427524998296,0.6697613317610192,0.7833333333333334,0.5997980554199219
3,9,17,5,0.55,10000,diverse,0.660646677264797,,0.6637427524998296,0.6680191099134531,0.7833333333333334,0.5984891082085504
4,9,17,5,0.55,10000,diverse,0.6266637493187446,,0.6637427524998296,0.6369568184777095,0.7833333333333334,0.5778166029188367
5,9,17,5,0.55,10000,diverse,0.6403263795346994,,0.6637427524998296,0.6508889224668857,0.7833333333333333,0.5860360651312935
6,9,17,5,0.55,10000,diverse,0.6447444851615419,,0.6637427524998296,0.6546631776352887,0.7833333333333331,0.5891219202338325
7,9,17,5,0.55,10000,diverse,0.6520619682256268,,0.6637427524998296,0.66078949199302,0.7833333333333334,0.5934284015570747
8,9,17,5,0.55,10000,diverse,0.670085572692243,,0.6637427524998296,0.6769367842590805,0.7833333333333332,0.6047333021375869
9,9,17,5,0.55,10000,diverse,0.6715271339316755,,0.6637427524998296,0.6769769582578362,0.7833333333333331,0.6042103803168404
10,9,17,5,0.55,10000,diverse,0.651302018789339,,0.6637427524998296,0.6600434524464793,0.7833333333333333,0.5931640675184462
11,9,17,5,0.55,10000,diverse,0.637536943754365,,0.6637427524998296,0.6453342631424872,0.7833333333333333,0.5826450010850694
12,9,17,5,0.55,10000,diverse,0.6611505290775623,,0.6637427524998296,0.6688641797278774,0.7833333333333331,0.599164876844618
13,9,17,5,0.55,10000,diverse,0.6695003987677068,,0.6637427524998296,0.6761945817654507,0.7833333333333335,0.6041051451280381
14,9,17,5,0.55,10000,diverse,0.6465215937392761,,0.6637427524998296,0.6554055417580562,0.7833333333333334,0.5899015368652345
15,9,17,5,0.55,10000,diverse,0.656596263954413,,0.6637427524998296,0.665842744361947,0.7833333333333331,0.5961732439507379
16,9,17,5,0.55,10000,diverse,0.6481714808209333,,0.6637427524998296,0.6577442128247533,0.7833333333333334,0.591146444905599
17,9,17,5,0.55,10000,diverse,0.6323478704329331,,0.6637427524998296,0.6428698119922497,0.7833333333333331,0.5814418749999999
18,9,17,5,0.55,10000,diverse,0.6497302019330535,,0.6637427524998296,0.6576897616558006,0.7833333333333331,0.591307947998047
19,9,17,5,0.55,10000,diverse,0.6367036529456039,,0.6637427524998296,0.6469115618213752,0.7833333333333332,0.5842062027994792
20,9,17,5,0.55,10000,diverse,0.6537410778490669,,0.6637427524998296,0.6614227937538393,0.7833333333333331,0.5939987792968751
21,9,17,5,0.55,10000,diverse,0.6505948164229365,,0.6637427524998296,0.6592754547126713,0.7833333333333332,0.5918007351345487
22,9,17,5,0.55,10000,diverse,0.6587078741181629,,0.6637427524998296,0.6667088600058781,0.7833333333333331,0.597523955485026
23,9,17,5,0.55,10000,diverse,0.6433629589893826,,0.6637427524998296,0.6524295019205468,0.7833333333333332,0.5876603190104166
24,9,17,5,0.55,10000,diverse,0.6610144119308412,,0.6637427524998296,0.6702513880218135,0.7833333333333331,0.599559908311632
25,9,17,5,0.55,10000,diverse,0.666538339741259,,0.6637427524998296,0.673245087356801,0.7833333333333332,0.6020755685763889
26,9,17,5,0.55,10000,diverse,0.6511740129007701,,0.6637427524998296,0.6592977901407078,0.7833333333333333,0.5925922620985244
27,9,17,5,0.55,10000,diverse,0.6604107795599914,,0.6637427524998296,0.6666152717741749,0.7833333333333334,0.5972619296603733
28,9,17,5,0.55,10000,diverse,0.6616905004610707,,0.6637427524998296,0.6696128000696313,0.7833333333333333,0.5991546975368924
29,9,17,5,0.55,10000,diverse,0.6597322928731324,,0.6637427524998296,0.6667696215975025,0.7833333333333333,0.5972485088433159
30,9,17,5,0.55,10000,diverse,0.6658672830951899,,0.6637427524998296,0.672380842892349,0.7833333333333332,0.6013826643880209
31,9,17,5,0.55,10000,diverse,0.6437052601487877,,0.6637427524998296,0.6531783444636903,0.7833333333333332,0.5879145366753472
32,9,17,5,0.55,10000,diverse,0.6643648623518981,,0.6637427524998296,0.6704744898996142,0.7833333333333333,0.5996933319091797
33,9,17,5,0.55,10000,diverse,0.643809017734509,,0.6637427524998296,0.6531816670025137,0.7833333333333332,0.5879390562608506
34,9,17,5,0.55,10000,diverse,0.6426335179954208,,0.6637427524998296,0.6501151670948737,0.7833333333333331,0.5862736821831597
35,9,17,5,0.55,10000,diverse,0.6499658679626306,,0.6637427524998296,0.6592991217857676,0.7833333333333334,0.592375735405816
36,9,17,5,0.55,10000,diverse,0.6482532490816633,,0.6637427524998296,0.6583898177221081,0.7833333333333333,0.5916593139648438
37,9,17,5,0.55,10000,diverse,0.6404009751264566,,0.6637427524998296,0.6501328384874181,0.7833333333333329,0.5858416590033637
38,9,17,5,0.55,10000,diverse,0.6528848070123905,,0.6637427524998296,0.6607537752592687,0.7833333333333332,0.5934035211859809
39,9,17,5,0.55,10000,diverse,0.6528927784750618,,0.6637427524998296,0.6614568168339747,0.7833333333333331,0.5940421587456597
40,9,17,5,0.55,10000,diverse,0.6413999498025666,,0.6637427524998296,0.6508810437950014,0.7833333333333332,0.5868385026041668
41,9,17,5,0.55,10000,diverse,0.6313577983330516,,0.6637427524998296,0.6412041745209095,0.7833333333333332,0.5801060837131078
42,9,17,5,0.55,10000,diverse,0.6525588811970551,,0.6637427524998296,0.6615170517979081,0.7833333333333331,0.5936773771837023
43,9,17,5,0.55,10000,diverse,0.6519287330581343,,0.6637427524998296,0.659189042775663,0.7833333333333331,0.5923349842664929
44,9,17,5,0.55,10000,diverse,0.6494278341763391,,0.6637427524998296,0.6584846787164569,0.7833333333333333,0.5917237934027777
45,9,17,5,0.55,10000,diverse,0.6637582228140719,,0.6637427524998296,0.6709726311730564,0.7833333333333332,0.6006394444444445
46,9,17,5,0.55,10000,diverse,0.645865293572318,,0.6637427524998296,0.6554740103578034,0.7833333333333332,0.5897166460503472
47,9,17,5,0.55,10000,diverse,0.655241952430847,,0.6637427524998296,0.663012207722179,0.7833333333333332,0.5951589987521703
48,9,17,5,0.55,10000,diverse,0.6529507010019344,,0.6637427524998296,0.6615386640297329,0.7833333333333334,0.593729678548177
49,9,17,5,0.55,10000,diverse,0.6525834901609544,,0.6637427524998296,0.660090231831185,0.7833333333333333,0.592849619547526
50,9,17,5,0.55,10000,diverse,0.6492156087910268,,0.6637427524998296,0.6585092609721026,0.7833333333333334,0.5918261429850261
51,9,17,5,0.55,10000,diverse,0.6523277236099181,,0.6637427524998296,0.6607455574400265,0.7833333333333333,0.5933153792317708
52,9,17,5,0.55,10000,diverse,0.659652619013527,,0.6637427524998296,0.6665464162587318,0.7833333333333334,0.5974574917263455
