,team_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,team_type,accuracy_opinion,precision_opinion,accuracy_evidence,accuracy_bounded,precision_bounded,diversity,average
0,9,13,5,0.65,0.15,1000,expert,0.8538151208427426,,0.8682434439716337,0.8530767879707333,,0.2777777777777775,0.8291556051974828
1,9,13,5,0.65,0.15,1000,diverse,0.8578704366099854,,0.8717382341560591,0.8704045377869283,,0.6833333333333331,0.7661430860731337
2,9,13,5,0.65,0.15,1000,diverse,0.862405468678678,,0.8717382341560591,0.8727714240639659,,0.6833333333333331,0.7711250284830728
3,9,13,5,0.65,0.15,1000,diverse,0.8564339743713407,,0.8717382341560591,0.8699678634630723,,0.6833333333333331,0.7656478115505643
4,9,13,5,0.65,0.15,1000,diverse,0.8541376279103312,,0.8717382341560591,0.8691338885475881,,0.6833333333333333,0.7634887426757814
5,9,13,5,0.65,0.15,1000,diverse,0.8619933682858003,,0.8717382341560591,0.8712753900540884,,0.6833333333333332,0.7675876079644098
6,9,13,5,0.65,0.15,1000,diverse,0.8631137034929068,,0.8717382341560591,0.87120754653328,,0.6833333333333332,0.7681198478190105
7,9,13,5,0.65,0.15,1000,diverse,0.8542968205743935,,0.8717382341560591,0.8681787051551639,,0.6833333333333337,0.7618818187120228
8,9,13,5,0.65,0.15,1000,diverse,0.8544973152923352,,0.8717382341560591,0.8683871769128095,,0.6833333333333331,0.7620037077501086
9,9,13,5,0.65,0.15,1000,diverse,0.8603932057963333,,0.8717382341560591,0.8712177662293255,,0.6833333333333331,0.7679798822699654
10,9,13,5,0.65,0.15,1000,diverse,0.8575446040714261,,0.8717382341560591,0.8699098280342883,,0.6833333333333332,0.7652944165039064
11,9,13,5,0.65,0.15,1000,diverse,0.8565546052669717,,0.8717382341560591,0.8691323013100796,,0.6833333333333332,0.7639468575032553
12,9,13,5,0.65,0.15,1000,diverse,0.8579167789374831,,0.8717382341560591,0.8702832464903318,,0.6833333333333331,0.7660484555392796
13,9,13,5,0.65,0.15,1000,diverse,0.857073120453943,,0.8717382341560591,0.8693183709380004,,0.6833333333333331,0.7643379904513891
14,9,13,5,0.65,0.15,1000,diverse,0.8535136606141298,,0.8717382341560591,0.8687848428001081,,0.6833333333333331,0.7627768812391493
15,9,13,5,0.65,0.15,1000,diverse,0.855740104872718,,0.8717382341560591,0.8691096116679915,,0.683333333333333,0.7636086891004775
16,9,13,5,0.65,0.15,1000,diverse,0.8623781349177315,,0.8717382341560591,0.8719506025775243,,0.6833333333333332,0.7695476245117189
17,9,13,5,0.65,0.15,1000,diverse,0.8590513927902745,,0.8717382341560591,0.8705570158871792,,0.6833333333333332,0.7665462932671442
18,9,13,5,0.65,0.15,1000,diverse,0.8541949344050042,,0.8717382341560591,0.8680919170665893,,0.6833333333333331,0.7618073817274307
19,9,13,5,0.65,0.15,1000,diverse,0.8537676947314332,,0.8717382341560591,0.8675377642023838,,0.6833333333333336,0.7604506814236113
20,9,13,5,0.65,0.15,1000,diverse,0.8565385374797936,,0.8717382341560591,0.8695494087830822,,0.6833333333333332,0.764083388671875
21,9,13,5,0.65,0.15,1000,diverse,0.8516602422663571,,0.8717382341560591,0.8676385145022136,,0.683333333333333,0.7609569978841146
22,9,13,5,0.65,0.15,1000,diverse,0.8608044540541258,,0.8717382341560591,0.8715262356828217,,0.6833333333333332,0.7685852724202475
23,9,13,5,0.65,0.15,1000,diverse,0.86356452122785,,0.8717382341560591,0.8719585997773596,,0.6833333333333331,0.7692435202365452
24,9,13,5,0.65,0.15,1000,diverse,0.8578910995582321,,0.8717382341560591,0.8693628932311148,,0.6833333333333335,0.7640052685546875
25,9,13,5,0.65,0.15,1000,diverse,0.8599333179697601,,0.8717382341560591,0.8701984223417143,,0.6833333333333331,0.7656746150716146
26,9,13,5,0.65,0.15,1000,diverse,0.8566359847677878,,0.8717382341560591,0.8688215226819052,,0.6833333333333331,0.7622264950900609
27,9,13,5,0.65,0.15,1000,diverse,0.8565122124582649,,0.8717382341560591,0.8693693770732345,,0.6833333333333329,0.7642274617513022
28,9,13,5,0.65,0.15,1000,diverse,0.8515147331470405,,0.8717382341560591,0.8678270449099619,,0.6833333333333331,0.7610485198296442
